 92_508          0:56:51    1:09:35 12.930 11.855 11.530 11.446 11.421  1.075  0.325  0.409  0.434  0.084  0.109
 92_507          0:56:51    1:05:58 13.823 11.734 10.985 10.764 10.652  2.089  0.749  0.970  1.082  0.222  0.333
 92_364          0:56:53    0:44:02 12.982 11.893 11.486 11.366 11.318  1.089  0.407  0.527  0.575  0.120  0.168
 92_433          0:56:54    1:00:43 13.206 11.914 11.456 11.345 11.303  1.292  0.458  0.569  0.611  0.111  0.153
 92_288          0:57:17    0:36:46 13.780 11.989 11.321 11.119 11.020  1.791  0.668  0.870  0.969  0.202  0.301
 F_11            1:04:22    4:13:37 11.601 11.811 12.293 12.662 12.918 -0.210 -0.482 -0.851 -1.108 -0.369 -0.626
 F_16            1:54:08   -6:42:54 13.432 12.279 12.522 12.750 12.919  1.152 -0.243 -0.471 -0.639 -0.228 -0.397
 93_407          1:54:37    0:53:49 14.246 12.328 11.664 11.481 11.394  1.918  0.665  0.847  0.934  0.183  0.269
 93_317          1:54:38    0:43:00 12.763 11.699 11.417 11.355 11.343  1.064  0.282  0.344  0.356  0.062  0.074
 93_333          1:55:05    0:45:44 14.099 12.357 11.713 11.530 11.442  1.742  0.644  0.827  0.915  0.184  0.271
 93_424          1:55:26    0:56:43 14.548 12.106 11.199 10.937 10.801  2.441  0.907  1.169  1.305  0.262  0.398
 G3_33           2:00:09   13:04:04 16.144 13.188 11.524  9.793  9.061  2.956  1.664  3.396  4.127  1.731  2.463
 PG0220+132B     2:23:34   13:28:07 16.201 14.621 13.867 13.611 13.478  1.580  0.754  1.010  1.142  0.256  0.389
 PG0220+132      2:23:38   13:27:38 14.434 14.566 14.935 15.282 15.525 -0.132 -0.369 -0.716 -0.959 -0.348 -0.591
 PG0220+132A     2:23:39   13:27:33 16.762 16.089 15.497 15.256 15.133  0.672  0.592  0.834  0.957  0.241  0.365
 F_22            2:30:17    5:15:51 12.676 12.649 12.935 13.268 13.502  0.028 -0.287 -0.620 -0.854 -0.333 -0.567
 PG0231+051E     2:33:28    5:19:44 15.481 14.063 13.582 13.451 13.396  1.417  0.481  0.612  0.668  0.132  0.187
 PG0231+051D     2:33:33    5:19:28 17.100 14.516 13.604 13.260 13.072  2.583  0.912  1.257  1.444  0.344  0.532
 PG0231+051A     2:33:40    5:17:38 14.562 13.050 12.534 12.378 12.308  1.513  0.516  0.672  0.742  0.156  0.226
 PG0231+051C     2:33:41    5:20:19 15.255 13.958 13.483 13.336 13.271  1.297  0.475  0.622  0.687  0.147  0.212
 PG0231+051      2:33:41    5:18:40 15.296 15.801 16.376 16.970 17.366 -0.505 -0.575 -1.169 -1.565 -0.594 -0.990
 PG0231+051B     2:33:45    5:17:30 18.418 15.426 14.135 13.387 12.949  2.992  1.290  2.038  2.477  0.748  1.187
 F_24            2:35:08    3:43:57 11.704 12.177 12.620 12.494 12.442 -0.473 -0.443 -0.316 -0.264  0.127  0.179
 94_171          2:53:38    0:17:19 14.556 12.997 12.369 12.125 12.001  1.560  0.628  0.871  0.996  0.243  0.368
 94_296          2:55:20    0:28:14 14.019 12.555 11.997 11.848 11.782  1.464  0.558  0.707  0.773  0.149  0.215
 94_394          2:56:14    0:35:10 13.533 12.458 12.116 12.023 11.991  1.075  0.342  0.436  0.467  0.093  0.125
 94_401          2:56:31    0:40:05 15.806 14.530 14.090 13.959 13.904  1.275  0.440  0.572  0.627  0.132  0.187
 94_242          2:57:21    0:18:38 13.064 11.777 11.691 11.740 11.798  1.288  0.086  0.036 -0.021 -0.050 -0.107
 94_251          2:57:46    0:16:02 14.674 11.767 10.717 10.371 10.183  2.908  1.050  1.395  1.583  0.345  0.533
 94_702          2:58:13    1:10:53 15.645 12.268 11.009 10.580 10.339  3.377  1.259  1.688  1.929  0.430  0.670
 GD_50           3:48:50   -0:58:33 13.285 13.788 14.308 14.715 14.994 -0.504 -0.520 -0.926 -1.206 -0.406 -0.686
 95_15           3:52:40   -0:05:22 12.937 11.581 11.063 10.916 10.851  1.357  0.518  0.665  0.730  0.147  0.212
 95_301          3:52:41    0:31:21 14.747 11.818 10.694 10.316 10.108  2.928  1.125  1.502  1.710  0.378  0.586
 95_16           3:52:41   -0:05:06 17.889 14.924 13.783 13.351 13.108  2.964  1.141  1.574  1.816  0.432  0.675
 95_302          3:52:42    0:31:18 13.793 12.036 11.400 11.218 11.132  1.757  0.636  0.818  0.904  0.182  0.268
 95_96           3:52:54    0:00:19 11.212  9.972 10.048 10.185 10.297  1.239 -0.076 -0.213 -0.325 -0.137 -0.249
 95_97           3:52:57   -0:00:20 16.870 15.205 14.484 14.179 14.016  1.664  0.721  1.026  1.189  0.305  0.468
 95_98           3:53:00    0:02:52 17.636 14.989 13.979 13.602 13.394  2.647  1.010  1.388  1.596  0.378  0.586
 95_100          3:53:01    0:00:13 17.166 15.956 15.355 15.173 15.086  1.210  0.601  0.783  0.870  0.183  0.269
 95_101          3:53:04    0:02:53 14.496 12.993 12.406 12.218 12.128  1.503  0.587  0.774  0.864  0.187  0.277
 95_102          3:53:07    0:01:09 17.426 16.063 15.242 14.866 14.659  1.364  0.821  1.197  1.404  0.376  0.583
 95_252          3:53:11    0:27:19 18.853 16.087 14.793 14.290 14.005  2.766  1.295  1.797  2.082  0.502  0.788
 95_190          3:53:13    0:16:20 14.133 12.668 12.596 12.611 12.647  1.466  0.071  0.057  0.021 -0.014 -0.050
 95_193          3:53:20    0:16:31 17.746 14.896 13.855 13.481 13.275  2.850  1.042  1.415  1.621  0.374  0.579
 95_105          3:53:21   -0:00:20 16.006 14.001 13.206 12.910 12.754  2.005  0.795  1.090  1.247  0.295  0.452
 95_107          3:53:25    0:02:18 19.575 16.896 15.736 15.023 14.607  2.679  1.160  1.873  2.290  0.713  1.130
 95_106          3:53:25    0:01:22 17.367 15.718 14.634 14.366 14.226  1.649  1.084  1.351  1.491  0.268  0.408
 95_112          3:53:40   -0:01:13 16.999 15.753 15.288 14.910 14.702  1.246  0.465  0.843  1.051  0.378  0.586
 95_41           3:53:41   -0:02:31 15.996 14.446 13.728 13.384 13.197  1.550  0.718  1.061  1.248  0.343  0.530
 95_317          3:53:44    0:29:50 16.754 14.068 12.912 12.448 12.186  2.686  1.156  1.620  1.882  0.464  0.726
